
########################################################################################################################

LogisticRegression(solver=newton-cg, penalty='l2')                                                        => 0.456500
LogisticRegression(solver=lbfgs, penalty='l2')                                                            => 0.456000
LogisticRegression(solver=liblinear, penalty='l2')                                                        => 0.456000
LogisticRegression(solver=sag, penalty='l2')                                                              => 0.458000
LogisticRegression(solver=saga, penalty='l2')                                                             => 0.460000

Choice: 
LogisticRegression(solver=saga, penalty='l2')                                                             => 0.460000


########################################################################################################################

SVC()                                                                                                     => 0.400500

Choice: 
SVC()                                                                                                     => 0.400500


########################################################################################################################

RandomForest(n_estimators=10, n_jobs=CORES)                                                               => 0.209000
RandomForest(n_estimators=100, n_jobs=CORES)                                                              => 0.322500
RandomForest(n_estimators=1000, n_jobs=CORES)                                                             => 0.398500
RandomForest(n_estimators=5000, n_jobs=CORES)                                                             => 0.391500
RandomForest(n_estimators=10000, n_jobs=CORES)                                                            => 0.397500

Choice: 
RandomForest(n_estimators=1000, n_jobs=CORES)                                                             => 0.398500


########################################################################################################################

MLPClassifier(hidden_layer_sizes=(150,)*7, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.447000
MLPClassifier(hidden_layer_sizes=(150,)*7, solver='sgd',  activation='relu', early_stopping=True)         => 0.422500
MLPClassifier(hidden_layer_sizes=(150,)*7, solver='adam',  activation='relu', early_stopping=True)        => 0.422500
MLPClassifier(hidden_layer_sizes=(150,)*8, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.415500
MLPClassifier(hidden_layer_sizes=(150,)*8, solver='sgd',  activation='relu', early_stopping=True)         => 0.406000
MLPClassifier(hidden_layer_sizes=(150,)*8, solver='adam',  activation='relu', early_stopping=True)        => 0.436500
MLPClassifier(hidden_layer_sizes=(150,)*9, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.422500
MLPClassifier(hidden_layer_sizes=(150,)*9, solver='sgd',  activation='relu', early_stopping=True)         => 0.367500
MLPClassifier(hidden_layer_sizes=(150,)*9, solver='adam',  activation='relu', early_stopping=True)        => 0.433500
MLPClassifier(hidden_layer_sizes=(200,)*3, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.460000
MLPClassifier(hidden_layer_sizes=(200,)*3, solver='sgd',  activation='relu', early_stopping=True)         => 0.394500
MLPClassifier(hidden_layer_sizes=(200,)*3, solver='adam',  activation='relu', early_stopping=True)        => 0.463000
MLPClassifier(hidden_layer_sizes=(200,)*4, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.449000
MLPClassifier(hidden_layer_sizes=(200,)*4, solver='sgd',  activation='relu', early_stopping=True)         => 0.439000
MLPClassifier(hidden_layer_sizes=(200,)*4, solver='adam',  activation='relu', early_stopping=True)        => 0.454000
MLPClassifier(hidden_layer_sizes=(200,)*5, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.457000
MLPClassifier(hidden_layer_sizes=(200,)*5, solver='sgd',  activation='relu', early_stopping=True)         => 0.454000
MLPClassifier(hidden_layer_sizes=(200,)*5, solver='adam',  activation='relu', early_stopping=True)        => 0.470000
MLPClassifier(hidden_layer_sizes=(200,)*6, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.454500
MLPClassifier(hidden_layer_sizes=(200,)*6, solver='sgd',  activation='relu', early_stopping=True)         => 0.428000
MLPClassifier(hidden_layer_sizes=(200,)*6, solver='adam',  activation='relu', early_stopping=True)        => 0.439500
MLPClassifier(hidden_layer_sizes=(200,)*7, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.436500
MLPClassifier(hidden_layer_sizes=(200,)*7, solver='sgd',  activation='relu', early_stopping=True)         => 0.415000
MLPClassifier(hidden_layer_sizes=(200,)*7, solver='adam',  activation='relu', early_stopping=True)        => 0.450500
MLPClassifier(hidden_layer_sizes=(200,)*8, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.391500
MLPClassifier(hidden_layer_sizes=(200,)*8, solver='sgd',  activation='relu', early_stopping=True)         => 0.410000
MLPClassifier(hidden_layer_sizes=(200,)*8, solver='adam',  activation='relu', early_stopping=True)        => 0.423000
MLPClassifier(hidden_layer_sizes=(200,)*9, solver='lbfgs',  activation='relu', early_stopping=True)       => 0.145500
MLPClassifier(hidden_layer_sizes=(200,)*9, solver='sgd',  activation='relu', early_stopping=True)         => 0.114500
MLPClassifier(hidden_layer_sizes=(200,)*9, solver='adam',  activation='relu', early_stopping=True)        => 0.422000

Choice: 
MLPClassifier(hidden_layer_sizes=(100,)*5, solver='adam',  activation='relu', early_stopping=True)        => 0.473000


Best: 
MLPClassifier(hidden_layer_sizes=(100,)*5, solver='adam',  activation='relu', early_stopping=True)        => 0.473000

Accuracy on eval set:  0.471
